Category,Component,Manufacturer,Manufacturer_Location,Customer,Customer_Location,Manfacture Model,Battery subcomponent
Battery,High-capacity battery module,PolarEnergy,"Reykjavik, Iceland",DJI,"Shenzhen, China",EVO Max 4T,lithium-ion cells
Battery,Long-endurance battery pack,Samsung SDI,"Suwon, South Korea",Wingcopter,"Weiterstadt, Germany",Zipline P2,high-energy li-ion cells
Battery,Intelligent Battery Pack,FutureVolt,"Bangalore, India",ideaForge,"Mumbai, India",DJI Mini 4 Pro,lipo cells
Battery,Long-endurance battery pack,FutureVolt,"Bangalore, India",Autel Robotics,"Shenzhen, China",DJI Air 3,high-energy li-ion cells
Battery,Long-endurance battery pack,BYD,"Dongguan, China",Wingcopter,"Weiterstadt, Germany",H520E,high-energy li-ion cells
Battery,Long-endurance battery pack,Samsung SDI,"Suwon, South Korea",ideaForge,"Mumbai, India",EVO Max 4T,high-energy li-ion cells
Battery,High-capacity battery module,BYD,"Dongguan, China",Autel Robotics,"Shenzhen, China",DJI Mini 4 Pro,lithium-ion cells
Battery,Intelligent Battery Pack,Panasonic Energy,"Osaka, Japan",DJI,"Shenzhen, China",Skydio 2+,lipo cells
Battery,Rugged battery pack,SkyCharge Batteries,"Dublin, Ireland",Wingcopter,"Weiterstadt, Germany",NETRA V4,high-rate li-ion cells
Battery,Intelligent Battery Pack,PolarEnergy,"Reykjavik, Iceland",Zipline,"South San Francisco, USA",H520E,lipo cells
Battery,Rugged battery pack,Panasonic Energy,"Osaka, Japan",Wingcopter,"Weiterstadt, Germany",Anafi Ai,high-rate li-ion cells
Battery,Rugged battery pack,AeroLith Labs,"San Jose, USA",Wingcopter,"Weiterstadt, Germany",NETRA V4,high-rate li-ion cells
Battery,Hybrid battery module,BYD,"Dongguan, China",ideaForge,"Mumbai, India",Alta X,hybrid li-ion cells
Battery,Intelligent Battery Pack,BYD,"Dongguan, China",Freefly Systems,"Woodinville, USA",Anafi USA,lipo cells
Battery,High-capacity battery module,SkyCharge Batteries,"Dublin, Ireland",Skydio,"San Mateo, USA",EVO II Pro,lithium-ion cells
Battery,Long-endurance battery pack,Samsung SDI,"Suwon, South Korea",Zipline,"South San Francisco, USA",Wingcopter 198,high-energy li-ion cells
Battery,Hybrid battery module,DroneVolt Cells,"Lyon, France",DJI,"Shenzhen, China",EVO Max 4T,hybrid li-ion cells
Battery,Hybrid battery module,SkyCharge Batteries,"Dublin, Ireland",ideaForge,"Mumbai, India",Skydio X2,hybrid li-ion cells
Battery,High-capacity battery module,AeroLith Labs,"San Jose, USA",Zipline,"South San Francisco, USA",Wingcopter 198,lithium-ion cells
Battery,High-capacity battery module,OceanCell,"Rotterdam, Netherlands",Zipline,"South San Francisco, USA",Mavic 3,lithium-ion cells
Battery,Intelligent Battery Pack,CATL,"Ningde, China",Skydio,"San Mateo, USA",Typhoon H3,lipo cells
Battery,Hybrid battery module,BYD,"Dongguan, China",Autel Robotics,"Shenzhen, China",Anafi USA,hybrid li-ion cells
Battery,Smart battery,PolarEnergy,"Reykjavik, Iceland",Zipline,"South San Francisco, USA",H520E,lipo cells
Battery,Intelligent Battery Pack,BYD,"Dongguan, China",Skydio,"San Mateo, USA",DJI Air 3,lipo cells
Battery,Hybrid battery module,CATL,"Ningde, China",Skydio,"San Mateo, USA",NETRA V4,hybrid li-ion cells
Battery,High-capacity battery module,PolarEnergy,"Reykjavik, Iceland",Yuneec,"Jinhua, China",DJI Mini 4 Pro,lithium-ion cells
Battery,Long-endurance battery pack,EnerNext Batteries,"Austin, USA",Parrot,"Paris, France",EVO II Pro,high-energy li-ion cells
Battery,Smart battery,Panasonic Energy,"Osaka, Japan",Freefly Systems,"Woodinville, USA",H520E,lipo cells
Battery,Smart battery,FutureVolt,"Bangalore, India",DJI,"Shenzhen, China",DJI Air 3,lipo cells
Battery,Rugged battery pack,PolarEnergy,"Reykjavik, Iceland",Skydio,"San Mateo, USA",Skydio 2+,high-rate li-ion cells
Battery,Long-endurance battery pack,AeroLith Labs,"San Jose, USA",Autel Robotics,"Shenzhen, China",Skydio 2+,high-energy li-ion cells
Battery,Intelligent Battery Pack,Samsung SDI,"Suwon, South Korea",Wingcopter,"Weiterstadt, Germany",Anafi USA,lipo cells
Battery,Hybrid battery module,FutureVolt,"Bangalore, India",Parrot,"Paris, France",Skydio 2+,hybrid li-ion cells
Battery,Hybrid battery module,BYD,"Dongguan, China",Skydio,"San Mateo, USA",Anafi Ai,hybrid li-ion cells
Battery,Long-endurance battery pack,AeroLith Labs,"San Jose, USA",Skydio,"San Mateo, USA",Alta X,high-energy li-ion cells
Battery,Hybrid battery module,Panasonic Energy,"Osaka, Japan",Wingcopter,"Weiterstadt, Germany",EVO II Pro,hybrid li-ion cells
Battery,High-capacity battery module,FutureVolt,"Bangalore, India",Yuneec,"Jinhua, China",EVO II Pro,lithium-ion cells
Battery,High-capacity battery module,BYD,"Dongguan, China",Freefly Systems,"Woodinville, USA",Anafi USA,lithium-ion cells
Battery,Long-endurance battery pack,FutureVolt,"Bangalore, India",Wingcopter,"Weiterstadt, Germany",EVO II Pro,high-energy li-ion cells
Battery,Hybrid battery module,BYD,"Dongguan, China",Autel Robotics,"Shenzhen, China",Zipline P2,hybrid li-ion cells
Battery,Long-endurance battery pack,LG Energy Solution,"Seoul, South Korea",Parrot,"Paris, France",EVO II Pro,high-energy li-ion cells
Battery,High-capacity battery module,OceanCell,"Rotterdam, Netherlands",ideaForge,"Mumbai, India",Alta X,lithium-ion cells
Battery,Rugged battery pack,AeroLith Labs,"San Jose, USA",Freefly Systems,"Woodinville, USA",NETRA V4,high-rate li-ion cells
Battery,Intelligent Battery Pack,DroneVolt Cells,"Lyon, France",ideaForge,"Mumbai, India",Alta X,lipo cells
Battery,High-capacity battery module,Samsung SDI,"Suwon, South Korea",Freefly Systems,"Woodinville, USA",Mavic 3,lithium-ion cells
Battery,Long-endurance battery pack,AeroLith Labs,"San Jose, USA",Wingcopter,"Weiterstadt, Germany",Dragonfish,high-energy li-ion cells
Battery,High-capacity battery module,OceanCell,"Rotterdam, Netherlands",Wingcopter,"Weiterstadt, Germany",Anafi USA,lithium-ion cells
Battery,Rugged battery pack,EnerNext Batteries,"Austin, USA",Freefly Systems,"Woodinville, USA",Skydio X2,high-rate li-ion cells
Battery,Long-endurance battery pack,Samsung SDI,"Suwon, South Korea",Yuneec,"Jinhua, China",Matrice 350 RTK,high-energy li-ion cells
Battery,Rugged battery pack,BYD,"Dongguan, China",Skydio,"San Mateo, USA",Anafi USA,high-rate li-ion cells
Battery,Hybrid battery module,BYD,"Dongguan, China",Freefly Systems,"Woodinville, USA",NETRA V4,hybrid li-ion cells
Battery,Long-endurance battery pack,DroneVolt Cells,"Lyon, France",Freefly Systems,"Woodinville, USA",Astro,high-energy li-ion cells
Battery,Hybrid battery module,LG Energy Solution,"Seoul, South Korea",Yuneec,"Jinhua, China",Skydio 2+,hybrid li-ion cells
Battery,Smart battery,AeroLith Labs,"San Jose, USA",Autel Robotics,"Shenzhen, China",Skydio X2,lipo cells
Battery,Long-endurance battery pack,PolarEnergy,"Reykjavik, Iceland",Freefly Systems,"Woodinville, USA",H520E,high-energy li-ion cells
Battery,Intelligent Battery Pack,PolarEnergy,"Reykjavik, Iceland",Parrot,"Paris, France",Skydio 2+,lipo cells
Battery,Hybrid battery module,CATL,"Ningde, China",DJI,"Shenzhen, China",Wingcopter 198,hybrid li-ion cells
Battery,Long-endurance battery pack,PolarEnergy,"Reykjavik, Iceland",Autel Robotics,"Shenzhen, China",Skydio 2+,high-energy li-ion cells
Battery,Hybrid battery module,LG Energy Solution,"Seoul, South Korea",Freefly Systems,"Woodinville, USA",DJI Air 3,hybrid li-ion cells
Battery,Long-endurance battery pack,FutureVolt,"Bangalore, India",Yuneec,"Jinhua, China",Alta X,high-energy li-ion cells
Battery,High-capacity battery module,FutureVolt,"Bangalore, India",Parrot,"Paris, France",Dragonfish,lithium-ion cells
Battery,High-capacity battery module,AeroLith Labs,"San Jose, USA",Yuneec,"Jinhua, China",EVO Max 4T,lithium-ion cells
Battery,Intelligent Battery Pack,Samsung SDI,"Suwon, South Korea",Skydio,"San Mateo, USA",Zipline P2,lipo cells
Battery,Hybrid battery module,CATL,"Ningde, China",Autel Robotics,"Shenzhen, China",Zipline P2,hybrid li-ion cells
Battery,Intelligent Battery Pack,BYD,"Dongguan, China",Yuneec,"Jinhua, China",Typhoon H3,lipo cells
Battery,Hybrid battery module,PolarEnergy,"Reykjavik, Iceland",Zipline,"South San Francisco, USA",Zipline P2,hybrid li-ion cells
Battery,High-capacity battery module,Samsung SDI,"Suwon, South Korea",ideaForge,"Mumbai, India",H520E,lithium-ion cells
Battery,Rugged battery pack,CATL,"Ningde, China",Parrot,"Paris, France",EVO Max 4T,high-rate li-ion cells
Battery,Long-endurance battery pack,OceanCell,"Rotterdam, Netherlands",Yuneec,"Jinhua, China",Skydio 2+,high-energy li-ion cells
Battery,High-capacity battery module,Samsung SDI,"Suwon, South Korea",Zipline,"South San Francisco, USA",H520E,lithium-ion cells
Battery,Long-endurance battery pack,BYD,"Dongguan, China",Autel Robotics,"Shenzhen, China",NETRA V4,high-energy li-ion cells
Battery,High-capacity battery module,CATL,"Ningde, China",Yuneec,"Jinhua, China",Skydio X2,lithium-ion cells
Battery,Hybrid battery module,EnerNext Batteries,"Austin, USA",Zipline,"South San Francisco, USA",NETRA V4,hybrid li-ion cells
Battery,Rugged battery pack,LG Energy Solution,"Seoul, South Korea",Parrot,"Paris, France",Wingcopter 198,high-rate li-ion cells
Battery,High-capacity battery module,DroneVolt Cells,"Lyon, France",Yuneec,"Jinhua, China",Anafi Ai,lithium-ion cells
Battery,Smart battery,CATL,"Ningde, China",DJI,"Shenzhen, China",Typhoon H3,lipo cells
Battery,High-capacity battery module,Samsung SDI,"Suwon, South Korea",DJI,"Shenzhen, China",Alta X,lithium-ion cells
Battery,Hybrid battery module,CATL,"Ningde, China",Skydio,"San Mateo, USA",Typhoon H3,hybrid li-ion cells
Battery,High-capacity battery module,DroneVolt Cells,"Lyon, France",Yuneec,"Jinhua, China",Skydio 2+,lithium-ion cells
Battery,High-capacity battery module,BYD,"Dongguan, China",DJI,"Shenzhen, China",Anafi USA,lithium-ion cells
Battery,Hybrid battery module,Samsung SDI,"Suwon, South Korea",Skydio,"San Mateo, USA",DJI Air 3,hybrid li-ion cells
Battery,Rugged battery pack,AeroLith Labs,"San Jose, USA",Parrot,"Paris, France",Alta X,high-rate li-ion cells
Battery,Smart battery,SkyCharge Batteries,"Dublin, Ireland",DJI,"Shenzhen, China",EVO II Pro,lipo cells
Battery,Long-endurance battery pack,DroneVolt Cells,"Lyon, France",ideaForge,"Mumbai, India",DJI Mini 4 Pro,high-energy li-ion cells
Battery,Rugged battery pack,SkyCharge Batteries,"Dublin, Ireland",DJI,"Shenzhen, China",Zipline P2,high-rate li-ion cells
Battery,Long-endurance battery pack,CATL,"Ningde, China",Freefly Systems,"Woodinville, USA",NETRA V4,high-energy li-ion cells
Battery,Rugged battery pack,Samsung SDI,"Suwon, South Korea",DJI,"Shenzhen, China",Skydio X2,high-rate li-ion cells
Battery,High-capacity battery module,AeroLith Labs,"San Jose, USA",Skydio,"San Mateo, USA",Zipline P2,lithium-ion cells
Battery,Smart battery,FutureVolt,"Bangalore, India",Parrot,"Paris, France",Anafi Ai,lipo cells
Battery,High-capacity battery module,SkyCharge Batteries,"Dublin, Ireland",Yuneec,"Jinhua, China",H520E,lithium-ion cells
Battery,Rugged battery pack,Panasonic Energy,"Osaka, Japan",Freefly Systems,"Woodinville, USA",Matrice 350 RTK,high-rate li-ion cells
Battery,Hybrid battery module,PolarEnergy,"Reykjavik, Iceland",Skydio,"San Mateo, USA",NETRA V4,hybrid li-ion cells
Battery,Intelligent Battery Pack,SkyCharge Batteries,"Dublin, Ireland",Parrot,"Paris, France",Astro,lipo cells
Battery,Smart battery,EnerNext Batteries,"Austin, USA",Parrot,"Paris, France",Wingcopter 198,lipo cells
Battery,High-capacity battery module,LG Energy Solution,"Seoul, South Korea",Autel Robotics,"Shenzhen, China",Anafi Ai,lithium-ion cells
Battery,Rugged battery pack,Samsung SDI,"Suwon, South Korea",Yuneec,"Jinhua, China",Dragonfish,high-rate li-ion cells
Battery,Smart battery,EnerNext Batteries,"Austin, USA",Wingcopter,"Weiterstadt, Germany",Skydio X2,lipo cells
Battery,Hybrid battery module,DroneVolt Cells,"Lyon, France",Wingcopter,"Weiterstadt, Germany",Mavic 3,hybrid li-ion cells
Battery,Hybrid battery module,LG Energy Solution,"Seoul, South Korea",ideaForge,"Mumbai, India",Skydio 2+,hybrid li-ion cells
Battery,High-capacity battery module,FutureVolt,"Bangalore, India",Skydio,"San Mateo, USA",Anafi USA,lithium-ion cells
Battery,Intelligent Battery Pack,AeroLith Labs,"San Jose, USA",Freefly Systems,"Woodinville, USA",H520E,lipo cells
Battery,Intelligent Battery Pack,FutureVolt,"Bangalore, India",Yuneec,"Jinhua, China",NETRA V4,lipo cells
Battery,Smart battery,Samsung SDI,"Suwon, South Korea",Autel Robotics,"Shenzhen, China",Skydio X2,lipo cells
Battery,Hybrid battery module,AeroLith Labs,"San Jose, USA",Freefly Systems,"Woodinville, USA",NETRA V4,hybrid li-ion cells
Battery,Long-endurance battery pack,DroneVolt Cells,"Lyon, France",ideaForge,"Mumbai, India",EVO II Pro,high-energy li-ion cells
Battery,Intelligent Battery Pack,EnerNext Batteries,"Austin, USA",Parrot,"Paris, France",Matrice 350 RTK,lipo cells
Battery,Hybrid battery module,DroneVolt Cells,"Lyon, France",DJI,"Shenzhen, China",H520E,hybrid li-ion cells
Battery,Smart battery,AeroLith Labs,"San Jose, USA",Zipline,"South San Francisco, USA",Skydio X2,lipo cells
Battery,Intelligent Battery Pack,FutureVolt,"Bangalore, India",DJI,"Shenzhen, China",Zipline P2,lipo cells
Battery,Long-endurance battery pack,SkyCharge Batteries,"Dublin, Ireland",Freefly Systems,"Woodinville, USA",H520E,high-energy li-ion cells
Battery,Long-endurance battery pack,Samsung SDI,"Suwon, South Korea",Yuneec,"Jinhua, China",NETRA V4,high-energy li-ion cells
Battery,Smart battery,PolarEnergy,"Reykjavik, Iceland",Skydio,"San Mateo, USA",Mavic 3,lipo cells
Battery,Smart battery,SkyCharge Batteries,"Dublin, Ireland",Freefly Systems,"Woodinville, USA",DJI Air 3,lipo cells
Battery,Intelligent Battery Pack,Samsung SDI,"Suwon, South Korea",Yuneec,"Jinhua, China",Anafi USA,lipo cells
Battery,Long-endurance battery pack,LG Energy Solution,"Seoul, South Korea",Freefly Systems,"Woodinville, USA",Dragonfish,high-energy li-ion cells
Battery,Hybrid battery module,LG Energy Solution,"Seoul, South Korea",Yuneec,"Jinhua, China",Skydio 2+,hybrid li-ion cells
Battery,Hybrid battery module,OceanCell,"Rotterdam, Netherlands",Wingcopter,"Weiterstadt, Germany",Mavic 3,hybrid li-ion cells
Battery,Rugged battery pack,BYD,"Dongguan, China",Freefly Systems,"Woodinville, USA",Alta X,high-rate li-ion cells
Battery,Rugged battery pack,Samsung SDI,"Suwon, South Korea",DJI,"Shenzhen, China",Zipline P2,high-rate li-ion cells
Battery,Intelligent Battery Pack,EnerNext Batteries,"Austin, USA",Parrot,"Paris, France",Alta X,lipo cells
Battery,Hybrid battery module,BYD,"Dongguan, China",Freefly Systems,"Woodinville, USA",Skydio 2+,hybrid li-ion cells
Battery,Intelligent Battery Pack,SkyCharge Batteries,"Dublin, Ireland",Yuneec,"Jinhua, China",Anafi USA,lipo cells
Battery,Intelligent Battery Pack,Samsung SDI,"Suwon, South Korea",DJI,"Shenzhen, China",Zipline P2,lipo cells
Battery,Hybrid battery module,SkyCharge Batteries,"Dublin, Ireland",Zipline,"South San Francisco, USA",Wingcopter 198,hybrid li-ion cells
Battery,Rugged battery pack,PolarEnergy,"Reykjavik, Iceland",Yuneec,"Jinhua, China",DJI Air 3,high-rate li-ion cells
Battery,Intelligent Battery Pack,Samsung SDI,"Suwon, South Korea",Zipline,"South San Francisco, USA",Dragonfish,lipo cells
Battery,Hybrid battery module,Samsung SDI,"Suwon, South Korea",Parrot,"Paris, France",Anafi USA,hybrid li-ion cells
Battery,Hybrid battery module,FutureVolt,"Bangalore, India",ideaForge,"Mumbai, India",H520E,hybrid li-ion cells
Battery,Intelligent Battery Pack,FutureVolt,"Bangalore, India",Autel Robotics,"Shenzhen, China",Anafi USA,lipo cells
Battery,Smart battery,FutureVolt,"Bangalore, India",Parrot,"Paris, France",Dragonfish,lipo cells
Battery,Hybrid battery module,AeroLith Labs,"San Jose, USA",ideaForge,"Mumbai, India",Wingcopter 198,hybrid li-ion cells
Battery,Rugged battery pack,BYD,"Dongguan, China",Parrot,"Paris, France",Wingcopter 198,high-rate li-ion cells
Battery,Long-endurance battery pack,OceanCell,"Rotterdam, Netherlands",DJI,"Shenzhen, China",Astro,high-energy li-ion cells
Battery,Rugged battery pack,EnerNext Batteries,"Austin, USA",ideaForge,"Mumbai, India",NETRA V4,high-rate li-ion cells
Battery,Hybrid battery module,DroneVolt Cells,"Lyon, France",Yuneec,"Jinhua, China",Anafi USA,hybrid li-ion cells
Battery,Long-endurance battery pack,CATL,"Ningde, China",Skydio,"San Mateo, USA",Wingcopter 198,high-energy li-ion cells
Battery,Smart battery,SkyCharge Batteries,"Dublin, Ireland",ideaForge,"Mumbai, India",DJI Mini 4 Pro,lipo cells
Battery,High-capacity battery module,BYD,"Dongguan, China",ideaForge,"Mumbai, India",DJI Mini 4 Pro,lithium-ion cells
Battery,Intelligent Battery Pack,EnerNext Batteries,"Austin, USA",Yuneec,"Jinhua, China",Wingcopter 198,lipo cells
Battery,Long-endurance battery pack,CATL,"Ningde, China",Freefly Systems,"Woodinville, USA",EVO Max 4T,high-energy li-ion cells
Battery,Hybrid battery module,OceanCell,"Rotterdam, Netherlands",Autel Robotics,"Shenzhen, China",Skydio X2,hybrid li-ion cells
Battery,Rugged battery pack,Panasonic Energy,"Osaka, Japan",Skydio,"San Mateo, USA",Dragonfish,high-rate li-ion cells
Battery,Smart battery,CATL,"Ningde, China",Parrot,"Paris, France",DJI Mini 4 Pro,lipo cells
Battery,Intelligent Battery Pack,AeroLith Labs,"San Jose, USA",Skydio,"San Mateo, USA",Dragonfish,lipo cells
Battery,Rugged battery pack,SkyCharge Batteries,"Dublin, Ireland",Freefly Systems,"Woodinville, USA",Alta X,high-rate li-ion cells
Battery,Hybrid battery module,CATL,"Ningde, China",Parrot,"Paris, France",Wingcopter 198,hybrid li-ion cells
Battery,Long-endurance battery pack,Samsung SDI,"Suwon, South Korea",Autel Robotics,"Shenzhen, China",Anafi USA,high-energy li-ion cells
Battery,Rugged battery pack,OceanCell,"Rotterdam, Netherlands",DJI,"Shenzhen, China",Typhoon H3,high-rate li-ion cells
